country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,1.02,1.95,3.51,5.94,9.53,14.5,21.2,29.7,40,51.8,64.7,78,90.9,102,109,115,116,117,117,117,115,110,105,100,93.2,82.4,54.6
Dominica,0.15,0.16,0.24,0.3,0.36,0.32,0.36,0.26,0.26,0.37,0.55,0.43,0.41,0.37,0.35,0.27,0.3,0.26,0.22,0.22,0.25,0.24,0.24,0.2,0.28,0.21,0.2
Dominican Republic,29.4,44.1,62.3,83.4,107,130,152,171,188,201,211,219,223,224,213,182,155,136,109,92.6,79.9,58.5,40,34.6,30.3,30.8,27
Ecuador,14.4,16.2,17.5,22,21.5,18.5,12.4,53.8,49.5,55.9,56.4,62.7,69.8,65.2,61.4,59,63.1,57.6,64.7,59.1,57.9,47.6,47.5,36.2,25.3,35.1,35.5
Egypt,1.58,1.83,2.06,2.3,2.54,2.77,3,3.22,3.44,3.66,3.8,3.92,4.13,4.38,4.58,4.78,5.07,5.56,6.15,6.66,7.07,7.75,8.73,9.1,9.45,9.67,9.17
El Salvador,3.5,4.27,5.19,6.25,7.51,8.98,10.6,12.4,14.4,16.6,18.7,20.5,12.6,5.12,2,0.94,0.78,0.85,0.86,0.93,1.08,1.02,0.82,0.69,0.41,0.23,0.16
Equatorial Guinea,5.05,7.48,10.7,14.8,19.9,26,32.8,39.5,46.9,54.7,62.2,69.2,76,83.1,89.5,91.6,89.1,87.6,85.6,92.1,86,88.8,89.2,57.1,39.4,31.2,29.3
Eritrea,31.1,42.6,56,70.6,85.7,100,116,131,146,159,170,181,189,196,199,195,188,174,159,147,144,136,125,116,108,110,98.7
Estonia,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.04,0.02,0.04,0.04,0.03,0.06,0.19,0.25,0.34,0.31,0.3,0.28,0.22,0.23,0.21,0.21,0.19,0.17,0.16
Eswatini,13.8,31.4,63.8,117,195,298,420,550,674,785,867,925,973,1010,1020,1000,854,721,687,549,420,310,247,211,173,105,107
Ethiopia,838,1220,1710,2300,2980,3740,4530,5310,6030,6670,7160,7490,7640,7630,7440,7070,6350,5500,4540,3780,3140,2490,2140,1400,797,535,409
Fiji,0.22,0.27,0.31,0.35,0.39,0.43,0.47,0.51,0.54,0.57,0.6,0.62,0.66,0.69,0.72,0.74,0.77,0.6,0.56,0.57,0.32,0.2,0.13,0.06,0.04,0.06,0.06
Finland,0.36,0.44,0.44,0.48,0.39,0.35,0.54,0.19,0.15,0.23,0.18,0.1,0.15,0.2,0.18,0.17,0.24,0.24,0.15,0.1,0.18,0.15,0.16,0.11,0.12,0.11,0.11
